,2017 Building and Housing Director's Office Actual,2018 Building and Housing Director's Office Actual,2019 Building and Housing Director's Office Unaudited,2020 Building and Housing Director's Office Budget
,,,,
Salaries and wages,,,,
Full Time Permanent,"$1,146,745.00","$1,296,848.00","$1,362,134.00","$1,729,425.00"
Seasonal,"$3,387.00","$9,274.00",$783.00,—
Part-Time Permanent,—,—,—,"$21,106.00"
Longevity,"$9,025.00","$9,450.00","$9,850.00","$10,725.00"
Vacation Conversion,"$12,383.00",—,"$9,595.00",—
Separation Payments,"$16,039.00",—,—,"$10,000.00"
Bonus Incentive,"$4,000.00","$7,500.00",—,—
Overtime,"$60,034.00","$33,129.00","$42,673.00",—
Salary Total,"$1,251,613.00","$1,356,302.00","$1,425,035.00","$1,771,256.00"
,,,,
,,,,
Benefits,,,,
Hospitalization,"$214,377.00","$225,596.00","$255,206.00","$360,539.00"
Prescription,"$37,798.00","$32,279.00","$42,642.00","$72,921.00"
Dental,"$10,511.00","$11,017.00","$11,721.00","$19,854.00"
Vision Care,"$1,353.00","$1,404.00","$1,424.00","$2,195.00"
Public Employees Retire System,"$169,542.00","$187,776.00","$198,371.00","$249,693.00"
Fica-Medicare,"$16,610.00","$18,344.00","$19,336.00","$24,855.00"
Workers' Compensation,"$29,889.00","$21,508.00","$14,202.00","$15,221.00"
Life Insurance,$761.00,$787.00,$815.00,"$1,685.00"
Unemployment Compensation,—,—,—,"$12,896.00"
Clothing Maintenance,—,—,$93.00,$300.00
Benefits Total,"$480,841.00","$498,712.00","$543,808.00","$760,159.00"
Other Training & Professional Dues,,,,
Travel,—,"$6,250.00","$11,437.00","$2,500.00"
Tuition & Regristration Fees,"$4,894.00","$5,065.00","$3,570.00","$1,500.00"
Other Training Supplies,—,—,—,$200.00
Mileage (Priv Auto) Tmg Prps,$202.00,—,—,$100.00
Professional Dues & Subscript,$370.00,—,—,"$2,060.00"
Training & Professional Dues Total,"$5,466.00","$11,315.00","$15,007.00","$6,360.00"
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"$132,223.00","$178,000.00","$426,500.00","$196,000.00"
Court Reporter,—,—,—,$124.00
Travel- Non-Training,$71.00,$41.00,$21.00,$138.00
Mileage (Private Auto),"$14,992.00","$1,019.00",$356.00,$405.00
Jury And Witness Fees,—,—,$41.00,—
Medical Services,—,—,—,$412.00
Freight Expense,—,—,—,$134.00
Advertising And Public Notice,"$1,763.00",$899.00,—,—
Parking In City Facilities,"$7,425.00","$6,883.00","$9,075.00","$4,532.00"
Other Contractual,"$78,072.00","$28,300.00","$118,149.00","$6,500.00"
County Aud & Treas Coll Fee,$212.00,$131.00,$267.00,—
Credit Card Processing Fees,"$123,734.00","$81,163.00","$48,403.00","$115,000.00"
Contractual Services Total,"$358,492.00","$296,435.00","$602,813.00","$323,245.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,$26.00,$324.00,$59.00,$500.00
Postage,$629.00,$314.00,$233.00,
Computer Supplies,$61.00,$42.00,$859.00,$515.00
Computer Hardware,—,—,$49.00,—
Computer Software,—,—,—,"$2,000.00"
Hardware & Small Tools,—,—,$118.00,—
Office Furniture & Equipment,$238.00,$503.00,"$11,271.00",$691.00
Other Supplies,$193.00,$237.00,—,$412.00
Batteries,$169.00,$25.00,$64.00,$103.00
Just In Time Office Supplies,"$5,311.00","$11,227.00","$11,941.00","$9,785.00"
Materials & Supplies Total,"$6,626.00","$12,672.00","$24,594.00","$15,506.00"
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Contracts,—,—,"$1,190.00","$6,000.00"
Car Washes,—,$300.00,—,—
Maintenance Total,—,$300.00,"$1,190.00","$6,000.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$58,356.00","$63,513.00","$64,984.00","$57,620.00"
Charges From Print & Repro,"$87,815.00","$87,257.00","$89,258.00","$127,233.00"
Charges From Central Storeroom,"$128,151.00","$138,633.00","$150,723.00","$185,084.00"
Charges From M.V.M.,"$14,071.00","$20,833.00","$12,080.00","$15,384.00"
Interdepart Service Charges Total,"$288,392.00","$310,235.00","$317,044.00","$385,321.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Charges For Services,"-$9,821.00","$15,012.00","$95,699.00",$650.00
Licenses & Permits,"$15,891,703.00","$17,641,261.00","$18,293,580.00","$18,430,369.00"
Miscellaneous,"$16,171.00","$34,475.00","$42,807.00","$39,670.00"
Revenues Total,"$15,898,053.00","$17,690,748.00","$18,432,085.00","$18,470,689.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Capital Outlay,,,,
Small Equipment,—,"$6,790.00",—,—
,—,"$6,790.00",—,—
Capital Outlay Total,"$2,391,431.00","$2,492,660.00","$2,929,492.00","$3,270,847.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Claims, Refunds, Maintenance",,,,
"Judgments, Damages, & Claims",—,—,—,"$3,000.00"
"Claims, Refunds, Maintenance Total",—,—,—,"$3,000.00"
