,2017 Board of Building Standards and Appeals Actual,2018 Board of Building Standards and Appeals Actual,2019 Board of Building Standards and Appeals Unaudited,2020 Board of Building Standards and Appeals Budget
,,,,
Salaries & Wages,,,,
Full Time Permanent,"$54,642","$57,486","$53,990","$56,000"
Board Members,"30,610","32,695","29,968","40,952"
Longevity,800,800,"1,500",700
Separation Payments,—,—,"17,505",—
Bonus Incentive,—,500,—,—
Overtime,"6,120",—,—,—
Salary Total,"$92,171","$91,481","$102,962","$97,652"
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"$8,161","$5,917","$12,349","$13,199"
Prescription,"1,438",875,"2,248","2,803"
Dental,715,715,642,788
Vision Care,58,58,52,68
Public Employees Retire System,"12,951","12,752","11,951","13,940"
Fica-Medicare,"1,316","1,310","1,451","1,420"
Workers' Compensation,"2,154",863,987,"1,059"
Life Insurance,$34,$34,$31,$53
Benefits Total,"$26,827","$22,525","$29,710","$33,330"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,$232,$464,"$6,274","$15,100"
Court Reporter,"3,033","2,885","2,902","6,000"
Parking In City Facilities,$805,"1,088","1,047",$800
Contractual Services Total,"$4,070","$4,437","$10,223","$21,900"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,$114,$228,$ —,$250
Just In Time Office Supplies,$91,$100,$999,$250
,$205,$328,$999,$500
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,$338,$315,$347,$307
Charges From Print & Repro,914,"1,787","2,055","2,929"
Charges From Central Storeroom,"1,554","1,773","1,933","2,373"
,"$2,806","$3,875","$4,334","$5,609"
,"$126,081","$122,646","$148,228","$158,991"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Charges For Services,"$16,435","$16,710","$20,035","$15,000"
Licenses & Permits,30,—,—,—
Miscellaneous,—,"1,326","1,391",—
,"$16,465","$18,036","$21,426","$15,000"
