,2017 Bureau of Internal Audit Actual,2018 Bureau of Internal Audit Actual,2019 Bureau of Internal Audit Unaudited,2020 Bureau of Internal Audit Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"342,946","395,781","412,913","548,543"
Seasonal,"4,519","13,312","2,073",—
Part-Time Permanent,—,—,"10,073","24,124"
Longevity,"1,175",600,600,600
Separation Payments,—,—,"4,995",—
Bonus Incentive,—,"2,500",—,—
Overtime,"2,644","6,492",—,—
Salary Total,"351,284","418,685","430,654","573,267"
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"53,080","63,755","73,862","102,726"
Prescription,"9,458","9,513","12,434","20,434"
Dental,"2,394","3,017","3,162","5,290"
Vision Care,305,326,310,540
Public Employees Retire System,"49,352","57,881","59,268","77,421"
Fica-Medicare,"4,889","5,800","5,906","8,315"
Workers' Compensation,"8,726","3,924","4,238","4,526"
Life Insurance,183,191,208,426
Unemployment Compensation,651,—,—,—
Benefits Total,"129,038","144,407","159,388","219,678"
,,,,
Other Training & Professional Dues,,,,
Travel,530,"1,344","1,236",600
Tuition & Registration Fees,"2,970","1,338","2,603","6,000"
Mileage (Priv Auto) Trng Prps,187,547,364,900
Professional Dues & Subscript,"1,990","1,959","1,892","2,330"
Training & Professional Dues Total,5677,"5,188","6,095",9830
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,—,—,—,"175,000"
Mileage (Private Auto),437,617,463,—
Parking In City Facilities,9,28,43,"1,500"
State Auditor Examination,"259,964","249,595","232,574","480,000"
Contractual Services Total,260410,250240,233080,"656,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,"6,258",174,—,800
Computer Software,938,"70,054",280,"24,800"
Just In Time Office Supplies,727,652,743,"2,000"
,"7,923",70880,1023,27600
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$1,430","$1,403","$1,498","$1,328"
Charges From Print & Repro,959,"1,276","1,122","1,599"
Charges From Central Storeroom,29,95,56,68
,"$2,418","$2,774","$2,676","$2,995"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Bureau of Internal Audit,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Miscellaneous,"$5,336","$28,592","$175,435",$ —
,"$5,336","$28,592","$175,435",$ —
