,2017 Civil Service Commission Actual,2018 Civil Service Commission Actual,2019 Civil Service Commission Unaudited,2020 Civil Service Commission Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"$305,556","$350,365","$361,170","$486,504"
Board Members,"33,810","31,855","39,414","40,952"
Part-Time Permanent,"5,781","15,008","15,713","26,282"
Longevity,"2,900","3,425","3,550","3,375"
Vacation Conversion,"3,245",—,"10,972",—
Bonus Incentive,—,"3,500",—,—
Overtime,"3,839","6,219",264,"10,000"
Salary Total,"$355,131","$410,372","$431,082","$567,113"
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"$55,999","$53,278","$55,855","$92,354"
Prescription,"9,724","7,852","9,345","19,238"
Dental,"2,513","2,224","1,892","4,685"
Vision Care,311,292,286,548
Public Employees Retire System,"49,267","56,713","58,864","79,405"
Fica-Medicare,"4,954","5,768","6,045","8,223"
Workers' Compensation,"8,364","3,883","4,268","4,566"
Life Insurance,193,202,202,469
Unemployment Compensation,—,225,—,—
Benefits Total,"$131,325","$130,438","$136,758","$209,488"
,,,,
Other Training & Professional Dues,,,,
Tuition & Registration Fees,"$1,175",$—,"$3,310","$1,500"
Training & Professional Dues Total,"$1,175",$—,"$3,310","$1,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"$364,835","$169,176","$741,668","$450,000"
Court Reporter,"7,242","5,084","4,784","16,000"
Referee Services,"25,000",—,—,"35,000"
Medical Services,"111,000","270,000","160,012","175,000"
Parking In City Facilities,620,577,649,"1,000"
Contractual Services Total,"$508,697","$444,836","$907,112","$677,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Computer Software,$—,$—,$167,$750
Food,—,—,—,"1,000"
Other Supplies,123,—,317,—
Just In Time Office Supplies,"1,929","2,034","1,511","4,000"
,"$2,052","$2,034","$1,995","$5,750"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Contracts,$—,$155,$288,$700
,$—,$155,$288,$700
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$2,157","$2,447","$2,568","$2,277"
Charges From Print & Repro,"5,464","7,890","4,672","6,660"
Charges From Central Storeroom,501,791,195,239
Charges From M.V.M.,36,—,—,7
,"$8,158","$11,128","$7,435","$9,183"
,"$1,006,538","$998,962","$1,487,982","$1,470,734"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Miscellaneous,$24,"$5,207","$5,463",$—
,$24,"$5,207","$5,463",$—
