,2017 Community Relations Board Actual,2018 Community Relations Board Actual,2019 Community Relations Board Unaudited,2020 Community Relations Board Budget
Salaries and Wages,,,,
Full Time Permanent,"$693,552","$871,519","$989,350","$1,192,307"
Board Members,"94,175","84,635","79,775","121,712"
Part-Time Permanent,"11,291","3,317",—,—
Longevity,"6,400","5,450","5,750","6,775"
Vacation Conversion,—,—,"10,657",—
Separation Payments,693,—,—,—
Bonus Incentive,"3,000","4,500",—,—
Overtime,—,"1,564",490,—
Salary Total,"$809,112","$970,985","$1,086,021","$1,320,794"
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"$133,469","$156,677","$190,559","$248,717"
Prescription,"24,459","23,838","33,233","51,701"
Dental,"6,141","7,414","8,373","13,520"
Vision Care,948,"1,095","1,226","1,798"
Public Employees Retire System,"113,469","132,566","149,334","186,298"
Fica-Medicare,"10,478","12,753","14,316","18,220"
Workers' Compensation,"20,643","21,352","7,774","13,397"
Life Insurance,489,520,655,"1,264"
Benefits Total,"$310,096","$356,215","$405,469","$534,915"
,,,,
,,,,
Other Training & Professional Dues,,,,
Travel,$—,$872,"$1,864","$2,000"
Tuition & Registration Fees,"3,100",420,"1,105","1,500"
Training & Professional Dues Total,"$3,100","$1,292","$2,969","$3,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"$1,436,700","$1,719,692",$—,"$325,000"
Mileage (Private Auto),"6,387","4,988","3,427","9,000"
Program Promotion,125,—,—,—
Parking In City Facilities,"2,461","3,062","3,894","3,062"
Contractual Services Total,"$1,445,673","$1,727,742","$7,321","$337,062"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,$—,$77,$289,"$3,500"
Computer Hardware,—,—,—,"2,000"
Food,"1,614",191,53,"5,000"
Other Supplies,—,—,—,"6,000"
Special Events Supplies,399,—,—,400
Just In Time Office Supplies,"1,247","1,576","2,357",—
,"$3,260","$1,844","$2,699","$16,900"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$9,034","$9,784","$10,009","$9,006"
Charges From Light And Power,—,"5,003",—,—
Charges From Print & Repro,"15,175","11,645","8,953","12,765"
Charges From Central Storeroom,"4,278","3,988","3,568","5,595"
Charges From M.V.M.,689,"2,377",644,935
,"$29,176","$32,797","$23,174","$28,301"
,"$2,600,417","$3,090,875","$1,527,654","$2,241,472"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Grant Revenue,$54,$—,$—,$—
Miscellaneous,13,"13,153","13,014",—
,$67,"$13,153","$13,014",$—
