,2017 Council and Clerk of Council Actual,2018 Council and Clerk of Council Actual,2019 Council and Clerk of Council Unaudited,2020 Council and Clerk of Council Budget
Department Total,"$7,007,452","$7,206,046","$6,914,617","$7,750,051"
Salaries and Wages,,,,
Full Time Permanent,"$2,314,033","$2,456,219","$2,398,482","$2,481,099"
Seasonal,"-12,787","-6,929","1,640",—
Elected Officials,"1,372,267","1,446,224","1,426,608","1,427,307"
Part-Time Permanent,"122,010","121,028","113,521","109,952"
Longevity,"13,625","14,600","15,550","19,700"
Vacation Conversion,"49,640",—,"42,194",—
Separation Payments,"35,907","16,293","11,776","60,000"
Bonus Incentive,—,"22,500",—,—
Salary Total,"$3,894,694","$4,069,934","$4,009,770","$4,098,058"
,,,,
,,,,
Benefits,,,,
Hospitalization,"$566,653","$599,120","$631,991","$651,114"
Prescription,"103,921","101,392","106,789","130,246"
Dental,"27,907","29,672","29,299","35,090"
Vision Care,"3,211","3,266","3,223","3,944"
Public Employees Retire System,"532,066","562,816","553,319","569,202"
Fica-Medicare,"53,779","56,160","55,018","54,976"
Workers' Compensation,"91,562","39,154","41,017","43,724"
Life Insurance,"2,043","1,961","1,953","3,177"
Unemployment Compensation,—,"49,179",263,"25,796"
Benefits Total,"$1,381,141","$1,442,719","$1,422,872","$1,517,269"
,,,,
Other Training & Professional Dues,,,,
Travel,"$48,496","$49,585","$39,728","$57,517"
Tuition & Registration Fees,"25,510","16,393","10,735","36,179"
Training,930,—,—,—
Professional Dues & Subscript,"4,478","3,206","1,975","9,467"
Training & Professional Dues Total,"$79,415","$69,184","$52,437","$103,163"
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"$567,673","$609,813","$929,883","$843,986"
Expense Account Reimbursement,"124,312","129,804","112,337","244,800"
Advertising And Public Notice,"638,000","617,990","74,438","562,650"
Parking In City Facilities,"40,264","43,148","45,336","41,140"
Insurance And Official Bonds,—,—,—,100
Contractual Services Total,"$1,370,250","$1,400,754","$1,161,993","$1,692,676"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Utilities,,,,
Steam,"$37,638","$38,663","$37,459","$38,582"
,"$37,638","$38,663","$37,459","$38,582"
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,"$15,313","$12,335","$11,402","$13,400"
Postage,"200,225","150,248","200,000","259,403"
Food,"19,785","15,005","11,617","20,000"
Just In Time Office Supplies,"8,992","7,205","7,067","7,500"
,"$244,314","$184,792","$230,086","$300,303"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Office Equipment,$—,$—,$—,"$5,000"
,$—,$—,$—,"$5,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$58,372","$65,654","$68,254","$60,519"
Charges From Print & Repro,"46,673","41,827","36,718","52,340"
Charges From Central Storeroom,"52,460","29,361","30,191","37,074"
,"$157,505","$136,843","$135,163","$149,933"
,"$7,164,956","$7,342,890","$7,049,780","$7,904,984"
,,,,
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Miscellaneous,$897,"$55,232","$57,304",$700
,$897,"$55,232","$57,304",$700
