,2017 Dept of Law Actual,2018 Dept of Law Actual,2019 Dept of Law Unaudited,2020 Dept of Law Budget
,,,,
Salaries and wages,,,,
Full Time Permanent,"4,374,203","4,934,282","4,918,683","5,769,184"
Part-Time Permanent,-941,—,—,
Longevity,"25,925","26,500","26,050","26,675"
Vacation Conversion,"79,987",—,"72,764",—
Separation Payments,"111,278","81,182","49,833","85,734"
Bonus Incentive,—,"40,000",—,—
Salary Total,"4,590,452","5,081,964","5,067,330","5,881,593"
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,719403,735677,793567,909256
Prescription,"128,999","109,517","132,368","179,578"
Dental,"34,078","35,961","35,936","48,133"
Vision Care,"4,009","4,290","4,272","5,656"
Public Employees Retire System,"638,376","710,956","712,273","821,378"
Fica-Medicare,"61,357","68,242","68,061","77,245"
Workers' Compensation,"108,462","49,412","51,716","53,825"
Life Insurance,"2,383","2,610","2,610","4,484"
Unemployment Compensation,-,-,8100,-
Benefits Total,1697067,1716665,1800803,2099555
,,,,
Other Training and Professional Dues,,,,
Travel,10764,35884,5362,25000
Tuition & Registration Fees,"26,682","6,210","30,724","50,000"
Professional Dues & Subscript,"144,086","89,627","104,687","120,000"
Training & Professional Dues Total,181532,131721,140773,195000
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,2338149,2656018,2737331,2500000
Court Reporter,"68,417","72,362","89,853","85,000"
Parking In City Facilities,"1,721","1,693","1,779","2,500"
Insurance And Official Bonds,—,250,—,250
Property Rental,—,—,"77,688",—
Other Contractual,143,"65,935","67,921","100,000"
Local Match-Grant Programs,"43,005","40,878","92,450","45,627"
Contractual Services Total,2451435,2837136,3067022,2733377
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials and Supplies,,,,
Office Supplies,310,684,883,"3,000"
Postage,524,"1,518",237,"1,500"
Computer Hardware,—,—,—,"72,250"
Computer Software,—,—,199,—
Just In Time Office Supplies,"4,692","4,659","6,456","5,000"
,5526,6861,7775,"81,750"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Computer Software Maintenance,-,-,-,83500
,-,-,-,83500
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$22,228","$24,491","$20,283","$17,985"
Charges From Print & Repro,"40,621","44,456","37,315","53,192"
Charges From Central Storeroom,"3,845","4,753","4,380","5,379"
Charges From M.V.M.,"1,027","1,239","1,240","1,818"
,"$67,721","$74,939","$63,218","$78,374"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Dept of Law,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Charges For Services,"$60,000",-,-,-
"Fines, Forfeitures & Settlements","17,410","28,424","22,403",4000
Miscellaneous,"14,041","74,428","68,981",4200
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Claims. Refunds. Maintenance,,,,
Court Costs,"$9,114","$8,621","$8,874","$20,000"
"Judgments, Damages, & Claims","5,686,890","3,233,663","7,888,693","3,000,000"
,"$5,696,004","$3,242,284","$7,897,567","$3,020,000"
