,2017 Dept of Human Resources Actual,2018 Dept of Human Resources Actual,2019 Dept of Human Resources Unaudited,2020 Dept of Human Resources Budget
,,,,
Salaries and wages,,,,
Full Time Permanent,780769,93028,981985,1363254
Part-Time Permanent,48636,43706,37006,66006
Longevity,3150,3025,3900,4250
Vacation Conversion,3283,-,8592,-
Separation Payments,-,7148,3854,10000
Bonus Incentive,-,8000,-,-
Salary Total,835838,154907,1035337,1443510
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,124731,148382,167962,178487
Prescription,26280,21776,28338,38112
Dental,5095,6417,7222,11307
Vision Care,709,908,939,1448
Public Employees Retire System,113973,136687,142968,200901
Fica-Medicare,11738,13903,14472,20934
Workers' Compensation,19079,9362,10227,10934
Life Insurance,410,503,545,1088
Unemployment Compensation,12532,-,4450,-
Clothing Allowance,-,-,-,530
Benefits Total,314547,337938,377123,463741
Other Training & Professional Dues,,,,
Travel,8584,6525,3312,7000
Tuition and Registration Fees,22917,14324,20863,15000
Training,147,-,-,-
Professional Dues and Subscript,8000,8000,9850,8500
Training & Professional Dues Total,39648,28849,34025,30500
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,639253,949319,1222999,1250000
COBRA-Medical Coverage,45000,45000,-,35000
Advertising And Public Notice,-,-,-,4000
Parking In City Facilities,1467,1497,1952,2500
Wellness Expense Anthem,-,-,1952,-
Other Contractual,260000,260000,211000,290000
Contractual Services Total,945720,1255816,1437903,1581500
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials and Supplies,,,,
Office Supplies,660,1593,2860,1500
Computer Supplies,2006,505,1744,2000
Medical Supplies,-,-,-,4000
Food,600,2000,-,4000
Other Supplies,30,12,35,1000
Special Events Supplies,-,-,-,30000
Just In Time Office Supplies,4903,5832,2815,5000
,8199,9942,7454,47500
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Contracts,816,845,-,900
,816,845,,900
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,3583,3923,4488,3979
Charges From Print and Repro,41619,36933,47058,67079
Charges From Central Storeroom,21167,24765,33948,41688
,66369,65621,85494,112746
,,,,
,2211137,1853918,2977336,3680397
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Dept of Human Resources,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Miscellanous,148581,36078,20160,500
,148581,36078,20160,500
