,2017 Div of Financial Reporting and Control Actual,2018 Div of Financial Reporting and Control Actual,2019 Div of Financial Reporting and Control Unaudited,2020 Div of Financial Reporting and Control Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"$803,434","$838,572","$800,476","$975,772"
Seasonal,—,"1,392","2,633",—
Part-Time Permanent,"4,993","1,100","37,888","131,534"
Student Trainees,—,—,"4,547",—
Longevity,"3,400","4,100","4,025","4,600"
Vacation Conversion,"11,685",—,"16,011",—
Separation Payments,—,"4,788",—,—
Bonus Incentive,—,"6,000",—,—
Overtime,"2,740","1,491","2,464","32,198"
Salary Total,"$826,253","$857,443","$868,045","$1,144,104"
,,,,
Benefits,,,,
Hospitalization,"$146,305","$129,789","$119,052","$175,382"
Prescription,"25,002","19,093","20,096","32,858"
Dental,"7,073","6,559","5,672","9,012"
Vision Care,704,671,620,952
Public Employees Retire System,"113,817","118,408","119,414","160,175"
Fica-Medicare,"11,568","12,066","12,191","16,590"
Workers' Compensation,"18,811","8,144","8,613","9,180"
Life Insurance,412,388,357,742
Benefits Total,"$323,691","$295,117","$286,015","$404,891"
,,,,
,,,,
Other Training & Professional Dues,,,,
Travel,$ —,"$4,278","$4,621","$10,000"
Tuition & Registration Fees,"1,519","1,020","1,360","1,600"
Professional Dues & Subscript,"1,456","1,356","1,778","3,400"
Training & Professional Dues Total,"$2,975","$6,654","$7,759","$15,000"
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,$ —,$ —,$ —,"$100,000"
Advertising And Public Notice,508,67,67,100
Parking In City Facilities,13,11,27,100
Contractual Services Total,$521,$77,$94,"$100,200"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Postage,$ —,$ —,$ —,$40
Computer Software,—,—,"4,300","1,440"
Office Furniture & Equipment,—,—,"1,740",—
Just In Time Office Supplies,"1,997","2,346","1,287","2,300"
,"$1,997","$2,346","$7,327","$3,780"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Office Equipment,$ —,$ —,$ —,$120
,$ —,$ —,$ —,$120
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$5,619","$5,709","$6,249","$5,540"
Charges From Print & Repro,"4,978","4,641","5,076","7,236"
Charges From Central Storeroom,11,17,40,50
,"$10,609","$10,367","$11,365","$12,826"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Div of Financial Reporting and Control,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Miscellaneous,$244,"$11,599","$12,169",$ —
,$244,"$11,599","$12,169",$ —
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Capital Outlay,,,,
Office Equipment,$ —,$ —,$499,$ —
,$ —,$ —,$499,$ —
,"$1,166,045","$1,172,005","$1,181,103","$1,680,921"
