,2017 Division of Purchases and Supplies Actual,2018 Division of Purchases and Supplies Actual,2019 Division of Purchases and Supplies Unaudited,2020 Division of Purchases and Supplies Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"370,281","465,671","454,607","521,431"
Longevity,"3,250","2,975","3,150","3,575"
Vacation Conversion,"1,741",—,"1,811",—
Separation Payments,—,—,—,"27,000"
Bonus Incentive,500,"3,500",—,—
Salary Total,"375,772","472,146","459,568","552,006"
,,,,
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"73,545","85,054","88,265","101,238"
Prescription,"13,712","13,125","15,410","21,647"
Dental,"3,911","4,356","4,344","5,864"
Vision Care,433,489,491,670
Public Employees Retire System,"52,076","64,574","64,504","74,200"
Fica-Medicare,"4,585","6,027","5,860","7,482"
Workers' Compensation,"8,811","5,791","5,614","4,857"
Life Insurance,244,287,295,525
Benefits Total,"157,317","179,703","184,783","216,483"
,,,,
,,,,
Other Training and Professional Dues,,,,
Travel,-,-,28,-
Tuition & Registration Fees,"5,764","4,161","1,215","8,000"
Professional Dues & Subscript,"2,527","1,579","2,452","4,185"
Training & Professional Dues Total,8291,5740,3695,12185
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Mileage (Private Auto),-,-,-,350
Contractual Services Total,-,-,-,350
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,500,—,491,"3,000"
Postage,121,89,210,200
Just In Time Office Supplies,"2,877","3,823","3,395","5,000"
,3498,3912,4096,"8,200"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Office Equipment,-,-,-,400
,-,-,-,400
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"4,058","3,933","3,420","3,032"
Charges From Print & Repro,"6,566","4,593","6,106","8,705"
Charges From Central Storeroom,"2,681","2,238","1,145","1,406"
,"13,305","10,764","10,671","13,143"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Division of Purchases and Supplies,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Charges For Services,$ —,-$100,$ —,$ —
Miscellaneous,"23,750","24,877","31,142",20000
,23750,"$24,777",31142,20000
