,2017 Municipal Court - Clerk's Division Actual,2018 Municipal Court - Clerk's Division Actual,2019 Municipal Court - Clerk's Division Unaudited,2020 Municipal Court - Clerk's Division Budget
Expenditures,,,,
Salaries and Wages,,,,
Full Time Permanent,"$6,205,776","$6,391,241","$6,482,721","$7,212,707"
Elected Officials,"64,180","67,397","70,788","72,027"
Part-Time Permanent,"126,501","182,126","184,112","236,240"
Student Trainees,"34,470","34,259","29,395","35,004"
Longevity,"61,250","62,525","60,625","60,925"
Vacation Conversion,"17,152",—,"12,943",—
Separation Payments,"54,893","48,700","53,092","50,000"
Overtime,"23,136","19,510","30,319","30,000"
Salary Total,"6,587,358","6,805,757","6,923,994","$7,696,903"
,,,,
,,,,
Benefits,,,,
Hospitalization,"$1,594,747","$1,489,932","$1,550,878","$1,686,946"
Prescription,"285,087","218,485","256,444","303,040"
Dental,"74,007","72,456","70,428","93,254"
Vision Care,"8,432","8,324","7,940","10,536"
Public Employees Retire System,"908,215","945,489","958,137","1,078,330"
Fica-Medicare,"86,432","91,309","92,744","103,953"
Workers' Compensation,"175,576","70,402","61,512","72,614"
Life Insurance,"5,011","4,873","4,795","8,114"
Unemployment Compensation,"2,175",61,—,"12,896"
Benefits Total,"3,139,682","2,901,331","3,002,879","3,369,683"
,,,,
Other Training & Professional Dues,,,,
Travel,$ —,"$12,033","$1,241","$10,000"
Tuition & Registration Fees,$598,"$7,868","$1,305","$10,000"
Professional Dues & Subscript,$198,—,—,$200
Training & Professional Dues Total,796,"19,901","2,546","$20,200"
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"709,748","1,041,465","1,071,816","1,400,000"
Advertising And Public Notice,"$27,803","$25,734","$25,119","$24,000"
Parking In City Facilities,"$2,580","$2,580","2,690","$2,580"
Insurance And Official Bonds,—,"2,297",—,—
Property Rental,"50,000","70,000","72,000","107,000"
Equipment Rental,-$485,$800,"$1,000",$800
Other Contractual,"$20,582","$67,858","$53,900","$77,000"
Contractual Services Total,"$810,229","$1,210,734","$1,226,525","$1,611,380"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Postage,"281,440","$299,669","$299,656","300,000"
Food,856,"1,408","1,205","1,500"
Other Supplies,"$16,188","$15,680","$18,388","$25,000"
Just In Time Office Supplies,"23,497","32,835","21,182","20,000"
,"$321,982","$349,593","$340,432","$346,500"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Office Equipment,"15,334","14,693","21,369","16,000"
Maintenance Contracts,—,145,—,"1,000"
Computer Software Maintenance,"$26,400",—,—,—
Car Washes,$300,$300,$300,$900
,"$42,034","$15,138","$21,669","$17,900"
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$116,920","$87,783","$67,910","$120,214"
Charges From Radio Comm System,"5,502","4,204","4,732","9,690"
Charges From Print & Repro,"159,749","125,698","112,030","309,695"
Charges From M.V.M.,"1,449","1,220","1,903","8,588"
,"283,620","218,905","186,575","448,187"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Municipal Court - Clerk's Division,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Charges For Services,"$399,449","$427,078","$436,471","$429,581"
"Fines, Forfeitures & Settlements","5,037,583","5,607,993","5,843,003","5,150,246"
Miscellaneous,$605,"$101,374","96,292","2,404"
,"5,437,637","6,136,444","6,375,766","5,582,231"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Claims, Refunds, Maintenance",,,,
Cash Short & Over,$ —,$ —,$10,"$1,000"
"Judgments, Damages, & Claims","$2,680","$6,700","$1,140","$10,000"
,"$2,680","$6,700","$1,150","$11,000"
