,2017 Office of Equal Opportunity Actual,2018 Office of Equal Opportunity Actual,2019 Office of Equal Opportunity Unaudited,2020 Office of Equal Opportunity Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"$381,594","$462,402","$473,424","$71,016"
Seasonal,-,3109,-,-
Longevity,1875,2050,2350,1850
Vacation Conversion,716,-,-,-
Bonus Incentive,-,"4,000",-,-
Overtime,-,277,-,-
Salary Total,"384,185","471,838","475,774","72,866"
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"$53,994","$68,058","$67,509","$94,682"
Prescription,"$9,671","$10,318","$11,444","$18,837"
Dental,"$2,634","$3,369","$2,980","$5,014"
Vision Care,364,408,353,540
Public Employees Retire System,"52,654","65,594","65,439","80,918"
Fica-Medicare,"4,690","5,899","6,325","8,309"
Workers' Compensation,"9,283","4,500","4,711","5,017"
Life Insurance,207,264,233,479
Benefits Total,"133,497","158,410","158,994","213,796"
,,,,
,,,,
Other Training & Professional Dues,,,,
Professional Dues & Subscript,-,-,-,550
Training & Professional Dues Total,-,-,-,550
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Parking In City Facilities,"$1,758","$2,028","$2,575","$3,000"
Contractual Services Total,"$1,758","$2,028","$2,575","$3,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,-,-,-,2600
Computer Supplies,-,"4,630",-,-
Computer Hardware,-,-,-,"5,800"
Office Furniture and Equipment,-,-,-,-
Just In Time Office Supplies,1690,2402,"2,094","$2,000"
Materials & Supplies Total,"1,690","7,032","2,094","10,400"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Computer Software Maintenance,"$112,000","$118,000",-,"$120,000"
,"$112,000","$118,000",-,"$120,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exchange,"$2,609","2,694","3,359","2,978"
Charges From Print and Repro,"6,490",10466,8345,"11,896"
Charges From Central Storeroom,"1,009",965,58,772
Charges From M.V.M.,"$1,588",$870,"$1,002","$1,826"
,"$11,696","14,995","12,764","17,472"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Office of Equal Opportunity,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Miscellaneous,"14,566","5,977","6,242",-
,"14,566","5,977","6,242",-
