,2017 Office of Budget and Management Actual,2018 Office of Budget and Management Actual,2019 Office of Budget and Management Unaudited,2020 Office of Budget and Management Budget
,,,,
Salaries and Wages,,,,
Full Time Permanent,"473,062","545,514","523,463","612,087"
Longevity,"1,475","1,600","1,900","1,900"
Vacation Conversion,"8,509",—,"8,153",—
Separation Payments,—,—,"3,495","10,000"
Bonus Incentive,—,"4,000",—,—
Overtime,319,—,—,"5,000"
Salary Total,"483,365","551,114","537,011","628,987"
,,,,
,,,,
,,,,
,,,,
Benefits,,,,
Hospitalization,"76,109","84,251","76,538","93,258"
Prescription,"13,375","12,544","12,947","18,844"
Dental,"3,130","3,714","3,475","4,930"
Vision Care,411,466,444,616
Public Employees Retire System,"65,956","76,340","74,186","87,195"
Fica-Medicare,"6,752","7,667","7,521","7,995"
Workers' Compensation,"11,200","5,502","5,411","5,726"
Life Insurance,235,270,261,472
Benefits Total,"177,168","190,754","180,783","219,036"
,,,,
,,,,
Other Training & Professional Dues,,,,
Travel,808,706,773,"4,000"
Tuition & Registration Fees,464,340,440,"2,000"
Professional Dues & Subscript,261,261,261,650
Training & Professional Dues Total,725,601,701,"2,650"
,,,,
,,,,
,,,,
,,,,
,,,,
Contractual Services,,,,
Advertising And Public Notice,$434,-,-,"$1,000"
Other Contractual,"10,119",-,-,10000
Contractual Services Total,"$10,553",$0,$0,"$11,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials and Supplies,,,,
Office Supplies,$ —,$ —,$ —,$500
Postage,—,—,—,100
Just In Time Office Supplies,345,532,368,"1,500"
,345,532,368,2100
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Print & Repro,"$16,036","$5,650","$8,992","$12,817"
,"$16,036","$5,650","$8,992","$12,817"
,"$689,000","$749,357","$728,628","$880,590"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Office of Budget and Management,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Revenues,,,,
Miscellaneous,$ 430 $,"6,857","$7,383",$ —
,$ 430 $,"6,857","$7,383",$ —
