,2017 Office of Capital Projects Actual,2018 Office of Capital Projects Actual,2019 Office of Capital Projects Unaudited,2020 Office of Capital Projects Budget
Department Total,"$4,930,758","$5,664,387","$6,070,778","$6,970,241"
Salaries and Wages,,,,
Full Time Permanent,"$3,102,588","$3,675,617","$3,910,805","$4,380,852"
Military Leave,—,—,633,—
Part-Time Permanent,"64,035","67,076","62,452","78,766"
Longevity,"18,450","17,850","16,350","17,850"
Vacation Conversion,"6,109",—,"8,759",—
Separation Payments,"14,114","33,478","12,308","50,000"
Bonus Incentive,"4,500","16,500","8,000",—
Overtime,"7,786","6,893","7,185","10,000"
Salary Total,"$3,217,581","$3,817,414","$4,026,491","$4,537,468"
,,,,
,,,,
Hospitalization,"$587,476","$651,354","$694,172","$745,721"
Prescription,"116,562","95,790","115,998","135,465"
Dental,"28,644","32,219","32,307","42,531"
Vision Care,"2,958","3,282","3,275","4,398"
Public Employees Retire System,"441,712","523,084","556,997","649,768"
Fica-Medicare,"43,600","52,024","54,867","68,389"
Workers' Compensation,"77,552","43,616","76,255","92,737"
Life Insurance,"1,649","1,821","1,961","3,470"
Unemployment Compensation,"4,890","6,997","2,039","5,000"
Clothing Allowance,"5,540","6,340","6,770","6,800"
Clothing Maintenance,"1,800","2,100","2,400","2,550"
Benefits Total,"$1,312,383","$1,418,627","$1,547,041","$1,756,829"
Other Training & Professional Dues,,,,
Travel,"$4,966","$6,857","$10,532","$6,500"
Tuition & Registration Fees,"6,291","8,029","6,420","8,000"
Training,—,—,"1,164","5,000"
Mileage (Priv Auto) Trng Prps,—,304,—,—
Professional Dues & Subscript,"10,919","9,300","10,394","11,940"
Training & Professional Dues Total,"$22,175","$24,491","$28,511","$31,440"
,,,,
,,,,
,,,,
Contractual Services,,,,
Professional Services,"$127,286","$147,397","$135,164","$172,100"
Mileage (Private Auto),"12,100","26,755","42,320","26,900"
Advertising And Public Notice,125,—,—,"1,500"
Appraisal Fees,"3,500","10,118","2,750","6,000"
Parking In City Facilities,"11,581","15,984","19,628","14,000"
Taxes,"100,389","62,878","122,991","215,127"
Equipment Rental,—,—,—,"1,000"
Other Contractual,413,513,518,500
Contractual Services Total,"$255,394","$263,645","$323,370","$437,127"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Materials & Supplies,,,,
Office Supplies,$250,$19,$233,"$2,800"
Computer Supplies,—,—,760,"1,000"
Computer Hardware,"4,146","3,330",—,"1,000"
Computer Software,"5,700","5,871",—,"1,000"
Small Equipment,—,"3,124","1,000","3,000"
Other Supplies,—,—,—,500
Bridge Maintenance Supplies,—,—,—,"5,000"
Safety Equipment,—,"2,799",510,"5,000"
Just In Time Office Supplies,"6,747","5,151","7,792","9,300"
,"$16,844","$20,294","$10,295","$28,600"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Maintenance,,,,
Maintenance Office Equipment,$—,$—,$776,"$1,000"
Maintenance Contracts,—,—,—,"20,000"
Computer Software Maintenance,"30,582","31,177","37,008","43,000"
Car Washes,—,300,—,—
,"$30,582","$31,477","$37,784","$64,000"
,,,,
,,,,
,,,,
,,,,
Interdepart Service Charges,,,,
Charges From Telephone Exch,"$13,550","$34,886","$38,937","$34,524"
Charges From Radio Comm System,"2,201","1,613","1,914","1,689"
Charges From Print & Repro,"37,511","29,414","35,576","50,713"
Charges From Central Storeroom,933,831,"1,348","1,656"
Charges From M.V.M.,"21,604","16,165","19,510","17,195"
,"$75,799","$82,907","$97,286","$105,777"
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Charges For Services,"$18,931","$15,259","$17,220",$—
"Fines, Forfeitures & Settlements",—,—,"10,938",—
Licenses & Permits,"69,420","52,425","59,625","47,000"
Miscellaneous,"202,905","487,051","92,854","950,000"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Capital Outlay,,,,
Computer Software,—,—,—,"$5,000"
Furniture,—,"5,533",—,"2,000"
Computer Hardware,—,—,—,"2,000"
,—,"5,533",—,"$9,000"
