,2017 General Fund - Other Administrative Actual,2018 General Fund - Other Administrative Actual,2019 General Fund - Other Administrative Unaudited,2020 General Fund - Other Administrative Budget
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Other Training & Professional Dues,,,,
Professional Dues & Subscript,"$3,074.00","$3,305.00","$2,040.00","$5,000.00"
Ohio Municipal League,"$23,441.00","$23,441.00","$24,600.00","$24,600.00"
NOACA,"$51,304.00","$51,304.00","$85,836.00","$68,559.00"
Mayors & Mgrs Assoc.,"$15,000.00","$15,000.00","$18,750.00","$18,750.00"
Global Cleveland,"$50,000.00","$50,000.00","$125,000.00","$125,000.00"
U.S. Conference Of Mayors,"$17,511.00","$17,511.00","$17,511.00","$17,511.00"
National League Of Cities,"$18,979.00","$18,979.00","$19,548.00","$19,548.00"
Greater Cleveland Partnership,"$25,000.00","$25,000.00","$25,000.00","$25,000.00"
Training & Professional Dues Total,"$204,309.00","$204,540.00","$318,285.00","$303,968.00"
Contractual Services,,,,
Professional Services,"$120,000.00","$716,000.00","$696,000.00","$216,000.00"
Insurance And Official Bonds,—,"$5,901.00",—,—
Property Rental,—,"$3,120,000.00","$2,400,000.00",—
Other Contractual,"$466,630.00","$244,455.00","$424,705.00","$625,000.00"
Justice Center-Tower Maint,"$4,775,000.00","$3,408,562.00","$3,080,904.00","$3,700,000.00"
Local Match-Grant Programs,—,—,"$5,000,000.00",—
Bank Service Fees,"$149,705.00","$145,682.00","$101,182.00",—
Contractual Services Total,"$5,511,335.00","$7,640,600.00","$11,702,791.00","$4,541,000.00"
,,,,
,,,,
,,,,
,,,,
,,,,
Utilities,,,,
Electricity - Cpp,"$13,610,282.00","$14,434,931.00","$14,372,436.00","$15,100,000.00"
,"$13,610,282.00","$14,434,931.00","$14,372,436.00","$15,100,000.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Revenues,,,,
Charges For Services,"$1,605,623.00","$2,012,608.00","$1,802,081.00","$1,588,177.00"
"Fines, Forfeitures & Settlements","$120,429.00",—,—,—
Grant Revenue,—,$3.00,—,—
Miscellaneous,"$14,855,734.00","$12,900,615.00","$23,210,205.00","$13,836,970.00"
Other Shared Revenue,"$12,900,162.00","$13,019,984.00","$13,440,585.00","$13,728,125.00"
Property Tax,"$33,842,251.00","$34,627,861.00","$37,905,311.00","$38,749,265.00"
Sale Of City Assets,—,"$9,248,500.00",—,"$4,200,000.00"
State And Local Gov Fund,"$24,373,867.00","$25,007,190.00","$26,072,779.00","$26,288,527.00"
Transfers In,—,—,"$3,731,113.00","$5,340,000.00"
Other Tax,"$2,980,098.00",—,—,—
Income Tax,"$389,045,794.00","$413,157,521.00","$441,753,856.00","$444,330,167.00"
Interest Earnings/Investment Income,—,"$24,420.00","$27,024.00",—
,"$479,723,957.00","$509,998,702.00","$547,942,953.00","$548,061,231.00"
,,,,
Capital Outlay,,,,
Transfer To Capital Project,"$693,276.00",$—,$—,$—
,"$693,276.00",$—,$—,$—
,"$20,019,202.00","$22,280,070.00","$26,393,512.00","$19,944,968.00"
