,2017 Transfers to Other Funds Actual,2018 Transfers to Other Funds Actual,2019 Transfers to Other Funds Unaudited,2020 Transfers to Other Funds Budget
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Capital Outlay,,,,
Transfer To Capital Project,"$21,000,000.00","$30,525,090.00","$30,450,000.00","$3,000,000.00"
,"$21,000,000.00","$30,525,090.00","$30,450,000.00","$3,000,000.00"
,"$64,671,344.00","$83,714,084.00","$96,305,174.00","$42,496,041.00"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Interfund Subsidies,,,,
Transfer To Rainy Day Res Fund,"$7,000,000.00","$5,000,000.00","$5,000,000.00",$—
Transfer To Stadium Fund,"$9,940,275.00","$10,270,275.00","$10,597,563.00","$10,516,213.00"
Subsidy To St Construction,"$11,214,387.00","$18,310,000.00","$27,675,490.00","$7,673,904.00"
Transfer to Other SubClasses,"$2,133,848.00","$5,280,326.00","$9,078,513.00","$6,080,000.00"
Transfer To Debt Service Fund,"$10,191,852.00","$9,233,393.00","$9,329,986.00","$10,221,563.00"
Transfer To Schools Rec Fund,"$1,125,000.00","$1,125,000.00","$1,125,000.00","$1,125,000.00"
Subsidy To Sinking Fund,"$600,000.00","$770,000.00","$518,002.00","$797,000.00"
Subsidy To Cemetery,"$65,982.00","$250,000.00","$116,525.00","$296,098.00"
Subsidy to Golf Courses,—,"$1,200,000.00","$928,988.00","$854,509.00"
Subsidy to Conv Center,"$1,400,000.00","$1,750,000.00","$1,485,107.00","$1,931,754.00"
,"$43,671,344.00","$53,188,994.00","$65,855,174.00","$39,496,041.00"
