Cleveland Public Power,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Salaries and Wages,,,,
Full Time Permanent,"$14,836,657","$15,483,316","$15,401,816","$17,218,018"
Injury Pay,—,"9,225",—,—
Student Trainees,"195,718","477,623","295,823","361,924"
Longevity,"110,375","110,525","107,550","110,375"
Wage Settlements,"96,200",—,—,—
Vacation Conversion,"10,933",—,"17,822",—
Separation Payments,"183,543","154,750","197,237","225,000"
Bonus Incentive,"15,200","92,100","8,900",—
Overtime,"1,644,553","1,927,089","2,062,537","1,600,000"
,"$17,093,178","$18,254,628","$18,091,685","$19,515,317"
Benefits,,,,
Hospitalization,"$2,496,804","$2,453,670","$2,518,698","$3,090,270"
Prescription,"439,540","367,207","426,935","623,654"
Dental,"119,677","120,110","115,474","167,802"
Vision Care,"13,552","13,378","12,978","18,512"
Public Employees Retire System,"2,347,117","2,456,267","2,547,632","2,743,998"
Fica-Medicare,"233,461","251,813","251,595","283,708"
Workers' Compensation,"714,216","389,798","353,586","471,849"
Life Insurance,"8,042","8,003","7,978","14,869"
Unemployment Compensation,665,"6,202","9,186","12,500"
Clothing Allowance,"122,150","132,910","131,110","141,913"
Tool Insurance,"2,750","8,575","12,175","9,025"
Clothing Maintenance,"90,485","94,265","95,615","98,331"
,"$6,588,458","$6,302,197","$6,482,961","$7,676,431"
Other Training & Professional Dues,,,,
Travel,"$29,994","$32,120","$46,103","$29,000"
Tuition & Registration Fees,"36,821","29,500","11,798","53,100"
Professional Dues & Subscript,"51,353","85,384","111,992","62,400"
,"$118,168","$147,004","$169,893","$144,500"
Utilities,,,,
Brokered Gas Supply,"$64,627","$62,423","$94,783","$97,626"
Sewer-Other,"13,491","48,654","35,128","45,000"
Telephone,"39,468","27,346","72,854","100,330"
Water,"50,575","16,868","15,835","30,000"
Gas,"38,038","46,009","44,215","45,541"
Electricity - Other,"1,407,822","1,420,972","1,382,074","1,423,536"
Steam,"35,152","44,861","43,383","44,684"
,"$1,649,172","$1,667,134","$1,688,271","$1,786,717"
Contractual Services,,,,
Professional Services,"$3,038,534","$2,126,110","$2,572,451","$4,264,747"
Waste Disposal Fee - Ohio EPA,172,57,45,—
Advertising And Public Notice,"6,260",845,—,"20,000"
Program Promotion,"123,146","97,608","102,845","125,000"
Parking In City Facilities,605,"1,155","1,430","1,320"
Insurance And Official Bonds,"775,018","680,511","785,000","825,000"
Property Rental,"320,055","308,961","339,976","334,300"
Equipment Rental,—,—,"50,000","50,000"
Other Contractual,"459,565","977,021","1,419,971","1,471,000"
State Auditor Examination,"21,000","22,000","25,000","25,000"
Bank Service Fees,"47,873","38,393","-24,086","40,000"
Credit Card Processing Fees,"826,239","779,196","520,206","875,000"
,"$5,618,466","$5,031,858","$5,792,837","$8,031,367"
Materials & Supplies,,,,
