Cleveland Stadium,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Contractual Services,,,,
Professional Services,"$13,860","$189,670","$13,860","$50,000"
Insurance And Official Bonds,"99,100",—,"168,116","99,100"
Stadium Property Tax,"675,991","843,817","761,893","1,000,000"
,"$788,951","$1,033,487","$943,869","$1,149,100"
Interfund Subsidies,,,,
Transfer To Debt Service Fund,"$9,342,275","$9,495,275","$9,868,463","$9,866,213"
,"$9,342,275","$9,495,275","$9,868,463","$9,866,213"
Capital Outlay,,,,
Transfer to other SubFunds,$—,"$451,132","$2,990,000","$2,500,000"
,$—,"$451,132","$2,990,000","$2,500,000"
Debt Service,,,,
Professional Srvcs-Debt Srvc,"$45,000",$—,$—,$—
,"$45,000",$—,$—,$—
,"$10,176,226","$10,979,895","$13,802,332","$13,515,313"
Revenues,,,,
Charges For Services,"$250,000","$250,000","$250,000","$250,000"
Other Shared Revenue,"10,321,430","4,641,053","4,698,948","4,333,333"
Transfers In,"9,940,275","10,270,275","10,597,563","10,516,213"
Interest Earnings/Investment Income,"123,294","341,066","497,971",—
,"$20,634,999","$15,502,393","$16,044,482","$15,099,546"
