"","contractual_services_2017","sinking_fund_general_operation","telephone_exchange","office_of_radio_communication","motor_vehicle_maintenance","printing_and_reproduction","health_insurance_fund","cca_income_tax_administration"
"1","Admin Fee Anthem",NA,NA,NA,NA,NA,"928,256",NA
"2","Admin Fee Med Mutual",NA,NA,NA,NA,NA,"1,958,787",NA
"3","Advertising And Public Notice",NA,NA,NA,NA,NA,NA,"2,447"
"4","Bank Service Fees",NA,NA,NA,NA,NA,NA,"107,518"
"5","Contractual Services",NA,NA,NA,NA,NA,NA,NA
"6","County Aud & Treas Coll Fee","330,216",NA,NA,NA,NA,NA,NA
"7","Credit Card Processing Fees",NA,NA,NA,NA,NA,NA,"174,996"
"8","Freight Expense",NA,NA,NA,NA,NA,NA,"625"
"9","Healthcare Consulting",NA,NA,NA,NA,NA,"—",NA
"10","Insurance And Official Bonds",NA,NA,NA,NA,NA,NA,"—"
"11","Janitorial Services",NA,NA,NA,NA,"15,000",NA,NA
"12","Mileage (Private Auto)",NA,NA,NA,NA,NA,NA,"11,298"
"13","Other Contractual",NA,NA,NA,"6,476","—","104,517","25,170"
"14","Pager Rental",NA,"1,785",NA,NA,NA,NA,NA
"15","Parking In City Facilities",NA,"13,644","1,045","$25,379","225",NA,"1,320"
"16","Photocopy Machine Rental",NA,NA,NA,NA,"590,637",NA,NA
"17","Professional Services","$175,455","$27,236","$240",NA,"$—","35,950","$1,211,137"
"18","Property Rental",NA,NA,"310,868",NA,NA,NA,"34,177"
"19","Special Assessment",NA,NA,NA,"18,000",NA,NA,NA
"20","State Auditor Examination",NA,NA,NA,NA,NA,NA,"37,000"
"21","Stop Loss Insurance Anthem",NA,NA,NA,NA,NA,"1,064,880",NA
"22","Stop Loss Insurance Med Mutal",NA,NA,NA,NA,NA,"1,792,386",NA
"23","Taxes",NA,NA,"2,412",NA,NA,NA,NA
"24","Towing",NA,NA,NA,"105,180",NA,NA,NA
"25","Wellness Expense Anthem",NA,NA,NA,NA,NA,"65,295",NA
"26","Wellness Expense Medical Mutual",NA,NA,NA,NA,NA,"50,391",NA
"27","Total","$505,670","$42,665","$314,564","$155,035","$605,863","6,000,462","$1,605,687"
