"","maintenance_2017","telephone_exchange","office_of_radio_communication","motor_vehicle_maintenance","printing_and_reproduction","cca_income_tax_administration"
"1","Accident Repair-Other Vehicles",NA,NA,"91,304",NA,NA
"2","Accident Repair-Safety Vehicls",NA,NA,"126,571",NA,NA
"3","Car Washes",NA,NA,NA,"—","$240"
"4","Computer Hardware Maintenance",NA,NA,"$10,225",NA,"31,152"
"5","Computer Software Maintenance","68,423",NA,"24,635",NA,"98,661"
"6","Fuel Pump Repair & Maintenance",NA,NA,"103,438",NA,NA
"7","Generator Repair",NA,NA,"5,000",NA,NA
"8","Glass Repair",NA,NA,"19,671",NA,NA
"9","Heavy Truck Repair",NA,NA,"30,000",NA,NA
"10","Hydraulic Repair Cyl Pmps Mtrs",NA,NA,"50,000",NA,NA
"11","Maintenance Building",NA,NA,"12,880",NA,NA
"12","Maintenance Contracts","$—","$1,452,288",NA,"$105,761","2,340"
"13","Maintenance Electrical Equip","37,004",NA,NA,NA,NA
"14","Maintenance Machinery & Tools",NA,NA,"52,699","—",NA
"15","Maintenance Office Equipment",NA,NA,NA,NA,"$7,066"
"16","Maintenance Utility Systems",NA,"107,761",NA,NA,NA
"17","Radiator & Gas Tank Repair",NA,NA,"10,000",NA,NA
"18","Repair Of Overhead Doors",NA,NA,"39,892","—",NA
"19","Spring Repair",NA,NA,"330,041",NA,NA
"20","Tire Repair Road Service",NA,NA,"104,077",NA,NA
"21","Transmission Repair",NA,NA,"100,000",NA,NA
"22","Total","$105,426","$1,560,049","$1,110,434","$105,761","$139,458"
