"","materials_and_supplies_2017","sinking_fund_general_operation","telephone_exchange","office_of_radio_communication","motor_vehicle_maintenance","printing_and_reproduction","cca_income_tax_administration"
"1","Air Compressor Parts",NA,NA,NA,"75,000",NA,NA
"2","Anti-Freeze",NA,NA,NA,"25,000",NA,NA
"3","Auto & Light Truck Parts",NA,NA,NA,"946,944",NA,NA
"4","Batteries",NA,NA,NA,"100,000",NA,"—"
"5","Building Maintenance Supplies",NA,NA,NA,"—",NA,NA
"6","Chemical",NA,NA,NA,"7,500",NA,NA
"7","Clothing",NA,NA,NA,"25,993","—",NA
"8","Computer Hardware",NA,"776",NA,NA,"5,644","186,922"
"9","Computer Software",NA,"—","$250,000","—","6,249","112,478"
"10","Computer Supplies",NA,"$130",NA,"$—",NA,"—"
"11","Construction Equipment Parts",NA,NA,NA,"150,000",NA,NA
"12","Electrical Supplies",NA,NA,NA,NA,"—",NA
"13","Fire/Ems Apparatus Parts",NA,NA,NA,"159,970",NA,NA
"14","Fuel",NA,NA,NA,"3,625,465",NA,NA
"15","Fuel Tax",NA,NA,NA,"773,005",NA,NA
"16","Greenhouse Maintenance Suppl",NA,NA,NA,"—",NA,NA
"17","Hardware & Small Tools",NA,NA,"1,417",NA,NA,NA
"18","Heavy Truck Parts",NA,NA,NA,"1,911,603",NA,NA
"19","Hygiene And Cleaning Supplies",NA,NA,NA,"10,883","—",NA
"20","Just In Time Office Supplies",NA,"—","—","2,994","3,193","25,475"
"21","Motor Oil & Lubricants",NA,NA,NA,"155,816",NA,NA
"22","Office Furniture & Equipment",NA,NA,NA,NA,NA,"—"
"23","Office Supplies",NA,NA,NA,NA,"$—","$4,723"
"24","Other Supplies",NA,"—","44,841","27,238","—","151"
"25","Painting Equipment & Supplies",NA,NA,NA,"10,000",NA,NA
"26","Paper And Other Printing Suppl",NA,NA,NA,NA,"521,813",NA
"27","Postage","$89",NA,NA,NA,NA,"280,229"
"28","Shop Supplies",NA,NA,NA,"19,339",NA,NA
"29","Small Equipment",NA,NA,"25,102",NA,"—",NA
"30","Snow Removal Equipment Parts",NA,NA,NA,"5,000",NA,NA
"31","Sweeper Parts",NA,NA,NA,"387,125",NA,NA
"32","Tires",NA,NA,NA,"730,000",NA,NA
"33","Welding Supplies & Equipment",NA,NA,NA,"5,099",NA,NA
"34","Total","$89","$906","$321,359","$9,153,973","$536,899","$609,978"
