"","utilities_2017","telephone_exchange","office_of_radio_communication","motor_vehicle_maintenance","printing_and_reproduction","cca_income_tax_administration"
"1","At&T Equipment","176,453",NA,NA,NA,NA
"2","Brokered Gas Supply",NA,"$237","$54,123","$725",NA
"3","Cellular Servicess","$547,601",NA,NA,NA,NA
"4","Data Communication (Telephone)","—",NA,NA,NA,NA
"5","Electricity - Cpp",NA,"16,242","18,958","33,680","$32,307"
"6","Electricity - Other",NA,"69,830","2,257",NA,NA
"7","Gas",NA,"3,862","29,129","572",NA
"8","Security & Monitoring System","38,771",NA,"—","2,358",NA
"9","Steam",NA,NA,NA,NA,"150,550"
"10","Telephone","486,822","75,420",NA,NA,NA
"11","Telephone-Long Distance","50,000",NA,NA,NA,NA
"12","Telephone-Ohio Bell","4,471,573",NA,NA,NA,NA
"13","Total","$5,771,221","$165,591","$104,467","$37,334","$182,857"
