"","maintenance","telephone_exchange_2017","office_of_radio_communication_2017","motor_vehicle_maintenance_2017","printing_and_reproduction_2017","cca_income_tax_administration_2017","telephone_exchange_2018","office_of_radio_communication_2018","motor_vehicle_maintenance_2018","printing_and_reproduction_2018","cca_income_tax_administration_2018","telephone_exchange_2019","office_of_radio_communication_2019","motor_vehicle_maintenance_2019","printing_and_reproduction_2019","cca_income_tax_administration_2019","telephone_exchange_2020","office_of_radio_communication_2020","motor_vehicle_maintenance_2020","printing_and_reproduction_2020","cca_income_tax_administration_2020"
"1","Accident Repair-Other Vehicles",NA,NA,NA,NA,NA,NA,NA,NA,"91,304","44,586","29,600","50,000",NA,NA,NA,NA,NA,NA,NA,NA
"2","Accident Repair-Safety Vehicls",NA,NA,NA,NA,NA,NA,NA,NA,"126,571","93,801","102,731","130,000",NA,NA,NA,NA,NA,NA,NA,NA
"3","Car Washes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"—","—","—","150","$240","$375","—","$300"
"4","Computer Hardware Maintenance",NA,NA,NA,NA,NA,NA,NA,NA,"$10,225","$10,872","$—","$10,000",NA,NA,NA,NA,"31,152","23,666","37,336","109,000"
"5","Computer Software Maintenance","68,423","1,000","19,714","150,000",NA,NA,NA,NA,"24,635","23,380","22,834","24,000",NA,NA,NA,NA,"98,661","164,601","102,833","113,300"
"6","Fuel Pump Repair & Maintenance",NA,NA,NA,NA,NA,NA,NA,NA,"103,438","99,989","49,990","50,000",NA,NA,NA,NA,NA,NA,NA,NA
"7","Generator Repair",NA,NA,NA,NA,NA,NA,NA,NA,"5,000","74,289","79,724","75,000",NA,NA,NA,NA,NA,NA,NA,NA
"8","Glass Repair",NA,NA,NA,NA,NA,NA,NA,NA,"19,671","24,810","15,000","20,000",NA,NA,NA,NA,NA,NA,NA,NA
"9","Heavy Truck Repair",NA,NA,NA,NA,NA,NA,NA,NA,"30,000","153,242","108,306","135,000",NA,NA,NA,NA,NA,NA,NA,NA
"10","Hydraulic Repair Cyl Pmps Mtrs",NA,NA,NA,NA,NA,NA,NA,NA,"50,000","99,998","99,998","100,000",NA,NA,NA,NA,NA,NA,NA,NA
"11","Maintenance Building",NA,NA,NA,NA,NA,NA,NA,NA,"12,880","76,767","49,999","11,000",NA,NA,NA,NA,NA,NA,NA,NA
"12","Maintenance Contracts","$—","$123,000","$—","$21,950","$1,452,288","$1,437,594","$698,119","$1,692,040",NA,NA,NA,NA,"$105,761","$107,640","$93,652","$100,000","2,340","2,336","2,336","5,500"
"13","Maintenance Electrical Equip","37,004","—","—","—",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Maintenance Machinery & Tools",NA,NA,NA,NA,NA,NA,NA,NA,"52,699","41,697","20,000","20,000","—","1,000","—","3,000",NA,NA,NA,NA
"15","Maintenance Office Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$7,066","$50,880","$5,579","$31,900"
"16","Maintenance Utility Systems",NA,NA,NA,NA,"107,761","175,025","269,831","250,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Radiator & Gas Tank Repair",NA,NA,NA,NA,NA,NA,NA,NA,"10,000","20,000","40,000","52,000",NA,NA,NA,NA,NA,NA,NA,NA
"18","Repair Of Overhead Doors",NA,NA,NA,NA,NA,NA,NA,NA,"39,892","4,982","5,000","16,000","—","—","—","500",NA,NA,NA,NA
"19","Spring Repair",NA,NA,NA,NA,NA,NA,NA,NA,"330,041","132,185","242,942","225,000",NA,NA,NA,NA,NA,NA,NA,NA
"20","Tire Repair Road Service",NA,NA,NA,NA,NA,NA,NA,NA,"104,077","58,465","72,393","52,000",NA,NA,NA,NA,NA,NA,NA,NA
"21","Transmission Repair",NA,NA,NA,NA,NA,NA,NA,NA,"100,000","75,000","84,974","80,000",NA,NA,NA,NA,NA,NA,NA,NA
"22","Total","$105,426","$124,000","$19,714","$171,950","$1,560,049","$1,612,619","$967,950","$1,942,040","$1,110,434","$1,034,062","$1,023,491","$1,050,000","$105,761","$108,640","$93,652","$103,650","$139,458","$241,857","$148,084","$260,000"
