"","materials_and_supplies","sinking_fund_general_operation_2017","telephone_exchange_2017","office_of_radio_communication_2017","motor_vehicle_maintenance_2017","printing_and_reproduction_2017","cca_income_tax_administration_2017","sinking_fund_general_operation_2018","telephone_exchange_2018","office_of_radio_communication_2018","motor_vehicle_maintenance_2018","printing_and_reproduction_2018","cca_income_tax_administration_2018","sinking_fund_general_operation_2019","telephone_exchange_2019","office_of_radio_communication_2019","motor_vehicle_maintenance_2019","printing_and_reproduction_2019","cca_income_tax_administration_2019","sinking_fund_general_operation_2020","telephone_exchange_2020","office_of_radio_communication_2020","motor_vehicle_maintenance_2020","printing_and_reproduction_2020","cca_income_tax_administration_2020"
"1","Air Compressor Parts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75,000","30,000","127,000","50,000",NA,NA,NA,NA,NA,NA,NA,NA
"2","Anti-Freeze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,000","15,713","20,273","25,000",NA,NA,NA,NA,NA,NA,NA,NA
"3","Auto & Light Truck Parts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"946,944","1,101,728","1,100,627","1,230,000",NA,NA,NA,NA,NA,NA,NA,NA
"4","Batteries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100,000","100,000","100,000","100,000",NA,NA,NA,NA,"—","—","—","500"
"5","Building Maintenance Supplies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"—","—","37,932","1,000",NA,NA,NA,NA,NA,NA,NA,NA
"6","Chemical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,500","—","7,500","7,500",NA,NA,NA,NA,NA,NA,NA,NA
"7","Clothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,993","24,999","37,490","24,000","—","—","—","1,000",NA,NA,NA,NA
"8","Computer Hardware",NA,NA,NA,NA,"776","10,285","1,484","10,000",NA,NA,NA,NA,NA,NA,NA,NA,"5,644","6,527","10,081","10,000","186,922","26,132","46,044","60,000"
"9","Computer Software",NA,NA,NA,NA,"—","—","—","5,000","$250,000","$—","$—","$—","—","—","8,139","1,000","6,249","8,632","7,112","10,000","112,478","36,973","36,326","95,900"
"10","Computer Supplies",NA,NA,NA,NA,"$130","$—","$—","$—",NA,NA,NA,NA,"$—","$—","$5,070","$1,000",NA,NA,NA,NA,"—","—","—","4,500"
"11","Construction Equipment Parts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150,000","220,000","194,999","200,000",NA,NA,NA,NA,NA,NA,NA,NA
"12","Electrical Supplies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"—","—","—","5,000",NA,NA,NA,NA
"13","Fire/Ems Apparatus Parts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"159,970","282,600","240,000","180,000",NA,NA,NA,NA,NA,NA,NA,NA
"14","Fuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,625,465","5,047,327","5,862,521","6,000,000",NA,NA,NA,NA,NA,NA,NA,NA
"15","Fuel Tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"773,005","878,360","1,099,207","1,470,000",NA,NA,NA,NA,NA,NA,NA,NA
"16","Greenhouse Maintenance Suppl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"—","32","—","—",NA,NA,NA,NA,NA,NA,NA,NA
"17","Hardware & Small Tools",NA,NA,NA,NA,NA,NA,NA,NA,"1,417","3,275","2,915","10,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Heavy Truck Parts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,911,603","1,706,959","2,239,717","2,250,000",NA,NA,NA,NA,NA,NA,NA,NA
"19","Hygiene And Cleaning Supplies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,883","17,269","15,785","18,000","—","—","—","1,000",NA,NA,NA,NA
"20","Just In Time Office Supplies",NA,NA,NA,NA,"—","—","1,029","2,500","—","48","233","500","2,994","5,868","3,241","4,000","3,193","3,153","5,541","4,000","25,475","37,762","29,479","45,000"
"21","Motor Oil & Lubricants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"155,816","116,999","244,993","300,000",NA,NA,NA,NA,NA,NA,NA,NA
"22","Office Furniture & Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"—","967","15,000","5,000"
"23","Office Supplies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$—","$—","$—","$1,000","$4,723","$361","$1,765","$7,000"
"24","Other Supplies",NA,NA,NA,NA,"—","—","6,529","—","44,841","67,208","69,766","100,000","27,238","29,430","1,593","1,000","—","—","—","500","151","347","515","2,000"
"25","Painting Equipment & Supplies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,000","20,000","20,535","16,000",NA,NA,NA,NA,NA,NA,NA,NA
"26","Paper And Other Printing Suppl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"521,813","471,406","496,060","700,000",NA,NA,NA,NA
"27","Postage","$89","$77","$199","$200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"280,229","234,548","90,589","470,000"
"28","Shop Supplies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19,339","50,231","—","—",NA,NA,NA,NA,NA,NA,NA,NA
"29","Small Equipment",NA,NA,NA,NA,NA,NA,NA,NA,"25,102","8,767","34,659","35,000",NA,NA,NA,NA,"—","10,046","—","7,500",NA,NA,NA,NA
"30","Snow Removal Equipment Parts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,000","—","20,000","20,000",NA,NA,NA,NA,NA,NA,NA,NA
"31","Sweeper Parts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"387,125","273,000","384,966","400,000",NA,NA,NA,NA,NA,NA,NA,NA
"32","Tires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"730,000","639,974","674,943","700,000",NA,NA,NA,NA,NA,NA,NA,NA
"33","Welding Supplies & Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,099","3,000","6,000","3,000",NA,NA,NA,NA,NA,NA,NA,NA
"34","Total","$89","$77","$199","$200","$906","$10,285","$9,042","$17,500","$321,359","$79,299","$107,574","$145,500","$9,153,973","$10,563,489","$12,452,530","$13,001,500","$536,899","$499,763","$518,794","$740,000","$609,978","$337,090","$219,717","$689,900"
